#Calculation provided for various boron concentraiton for total burnup of 25 MWd/kg 
#The goal is to find critical boron concentration for every burnup step

#2550B
#BU-step	reactivity (pcm)			reactivity-err (pcm)
1.00    3057.564418248435               15.036537306435283
2.00    2505.605927659165               15.208251000852622
3.00    1936.7492032360808              16.347881966609336
5.00    626.0558481566106               15.800289242069905
7.00    -838.7769466421745              16.26953429775145
9.00    -2465.4204822227616             16.79865983135795
11.00   -4100.844570151999              18.422875928372207
13.00   -5778.689825147821              20.140436198024698
15.00   -7410.462638344682              20.76661347152983
17.00   -9015.470385402388              21.391871010030982
19.00   -10641.621829149415             22.034823265772125
21.00   -12254.611419437115             22.681976012871882
23.00   -13862.276744540875             23.33631251781075
25.00   -15384.704142080102             25.295896904915182
#1400B
#BU-step	reactivity (pcm)			reactivity-err (pcm)
0.00    9141.294373120369               14.034017459926346
0.10    6339.855201416143               14.035556357906714
1.00    5455.233052850533               14.301940731345294
2.00    4848.900053284607               14.485970913711716
3.00    4262.244858882539               15.581720191082956
5.00    2960.669959534603               15.066610519523795
7.00    1478.8031645008393              15.530281961438671
9.00    -184.6402920582673              16.05913944071857
11.00   -1800.131729370458              17.6175535941992
13.00   -3439.1446824004556             18.189416309465177
15.00   -5009.256565966295              18.745804739712792
17.00   -6672.242069185479              19.34424428771374
19.00   -8219.603548304367              21.08066866587391
21.00   -9788.043203790756              21.69614597493137
23.00   -11365.023364381907             22.323903172108793
25.00   -12899.820602185064             22.94346508561003
#1100B
#BU-step	reactivity (pcm)			reactivity-err (pcm)
0.00    11613.929644687994              12.499355892566664
0.10    8813.20384808279                13.304050867922086
1.00    7876.554583141401               13.578766712756682
2.00    7239.923936737625               13.767090738019556
3.00    6623.215336203108               13.950758262638551
5.00    5302.133542931276               14.348297458433317
7.00    3805.4561545269194              15.730763451585696
9.00    2227.2629499990244              15.295212976397814
11.00   565.7807077727703               15.819462346007573
13.00   -1053.2783199286118             16.338824094727926
15.00   -2661.077797591363              17.91680472075728
17.00   -4205.743820599387              18.46002297684746
19.00   -5817.866288544161              19.03561540396236
21.00   -7324.004730842132              20.733195584638484
23.00   -8872.570100326071              21.335825736450747
25.00   -10385.754056124533             21.933026457370584
#800B
#BU-step	reactivity (pcm)			reactivity-err (pcm)
0.00    14169.720794101739              11.786938925699923
0.10    11305.057385627864              12.586868552586825
1.00    10329.181574440221              12.865369083375539
2.00    9687.790692423707               12.234442725023206
3.00    9020.606832552434               13.243599969787208
5.00    7689.4673682267085              13.633975095618691
7.00    6166.722966632887               14.087494206112993
9.00    4573.778782933977               14.569861913229476
11.00   2999.262794397243               15.995543131331694
13.00   1362.1881812173976              16.540010464675866
15.00   -207.1281338526776              17.07049649901843
17.00   -1756.31397928242               17.602390638905522
19.00   -3292.0199684132986             19.204634500479166
21.00   -4826.637706560887              19.77952315115263
23.00   -6312.066313214485              20.344059798813568
25.00   -7772.324498158173              20.90677306992535
#600B
#BU-step	reactivity (pcm)			reactivity-err (pcm)
0.00    15880.146032066483              10.614224747379689
0.10    12962.495539327898              12.120843492386427
1.00    12005.913202632775              12.388734898084156
2.00    11318.428917286692              11.796631574547497
3.00    10638.488003217022              11.978219739526782
5.00    9264.132111423653               13.17279635438909
